genotype;Symptoms;Day;Virus;Col
at1g67160;3;21 dpi;Ancestral;Mutant
at1g67160;3;21 dpi;Ancestral;Mutant
at1g67160;2;21 dpi;Ancestral;Mutant
at1g67160;3;21 dpi;Ancestral;Mutant
at1g67160;0;21 dpi;Ancestral;Mutant
at1g67160;3;21 dpi;Ancestral;Mutant
at1g67160;3;21 dpi;Ancestral;Mutant
at1g67160;3;21 dpi;Ancestral;Mutant
at1g67160;3;21 dpi;Ancestral;Mutant
at1g67160;3;21 dpi;Ancestral;Mutant
at2g14080;3;21 dpi;Ancestral;Mutant
at2g14080;4;21 dpi;Ancestral;Mutant
at2g14080;4;21 dpi;Ancestral;Mutant
at2g14080;4;21 dpi;Ancestral;Mutant
at2g14080;3;21 dpi;Ancestral;Mutant
at2g14080;3;21 dpi;Ancestral;Mutant
at2g14080;3;21 dpi;Ancestral;Mutant
at2g14080;4;21 dpi;Ancestral;Mutant
at2g14080;3;21 dpi;Ancestral;Mutant
at2g14080;3;21 dpi;Ancestral;Mutant
at2g14120;3;21 dpi;Ancestral;Mutant
at2g14120;0;21 dpi;Ancestral;Mutant
at2g14120;0;21 dpi;Ancestral;Mutant
at2g14120;3;21 dpi;Ancestral;Mutant
at2g14120;3;21 dpi;Ancestral;Mutant
at2g14120;2;21 dpi;Ancestral;Mutant
at2g14120;0;21 dpi;Ancestral;Mutant
at2g14120;0;21 dpi;Ancestral;Mutant
at2g14120;3;21 dpi;Ancestral;Mutant
at2g14120;0;21 dpi;Ancestral;Mutant
at2g14170;2;21 dpi;Ancestral;Mutant
at2g14170;2;21 dpi;Ancestral;Mutant
at2g14170;3;21 dpi;Ancestral;Mutant
at2g14170;0;21 dpi;Ancestral;Mutant
at2g14170;0;21 dpi;Ancestral;Mutant
at2g14170;3;21 dpi;Ancestral;Mutant
at2g14170;3;21 dpi;Ancestral;Mutant
at2g14170;3;21 dpi;Ancestral;Mutant
at2g14170;4;21 dpi;Ancestral;Mutant
at2g14170;2;21 dpi;Ancestral;Mutant
at2g15320;3;21 dpi;Ancestral;Mutant
at2g15320;3;21 dpi;Ancestral;Mutant
at2g15320;0;21 dpi;Ancestral;Mutant
at2g15320;0;21 dpi;Ancestral;Mutant
at2g15320;0;21 dpi;Ancestral;Mutant
at2g15320;0;21 dpi;Ancestral;Mutant
at2g15320;0;21 dpi;Ancestral;Mutant
at2g15320;0;21 dpi;Ancestral;Mutant
at2g15320;0;21 dpi;Ancestral;Mutant
at2g15320;0;21 dpi;Ancestral;Mutant
at2g19270;0;21 dpi;Ancestral;Mutant
at2g19270;0;21 dpi;Ancestral;Mutant
at2g19270;4;21 dpi;Ancestral;Mutant
at2g19270;3;21 dpi;Ancestral;Mutant
at2g19270;0;21 dpi;Ancestral;Mutant
at2g19270;0;21 dpi;Ancestral;Mutant
at2g19270;0;21 dpi;Ancestral;Mutant
at2g19270;0;21 dpi;Ancestral;Mutant
at2g19270;0;21 dpi;Ancestral;Mutant
at2g19270;0;21 dpi;Ancestral;Mutant
at3g56560;3;21 dpi;Ancestral;Mutant
at3g56560;3;21 dpi;Ancestral;Mutant
at3g56560;3;21 dpi;Ancestral;Mutant
at3g56560;0;21 dpi;Ancestral;Mutant
at3g56560;0;21 dpi;Ancestral;Mutant
at3g56560;0;21 dpi;Ancestral;Mutant
at3g56560;2;21 dpi;Ancestral;Mutant
