code,A,B,C,D
88,1,0,0,0
108,1,0,0,0
139,1,0,0,0
159,1,0,0,0
265,1,0,0,0
350,1,0,0,0
351,1,0,0,0
403,1,0,0,0
410,1,0,0,0
424,1,0,0,0
428,1,0,0,0
430,1,0,0,0
470,1,0,0,0
476,1,0,0,0
484,1,0,0,0
504,1,0,0,0
506,1,0,0,0
531,1,0,0,0
544,1,0,0,0
546,1,0,0,0
628,1,0,0,0
630,1,0,0,0
680,1,0,0,0
681,1,0,0,0
685,1,0,0,0
687,1,0,0,0
728,1,0,0,0
742,1,0,0,0
763,1,0,0,0
765,1,0,0,0
766,1,0,0,0
768,1,0,0,0
772,1,0,0,0
801,1,0,0,0
853,1,0,0,0
854,1,0,0,0
867,1,0,0,0
868,1,0,0,0
870,1,0,0,0
915,1,0,0,0
932,1,0,0,0
991,1,0,0,0
992,1,0,0,0
997,1,0,0,0
1002,1,0,0,0
1006,1,0,0,0
1061,1,0,0,0
1062,1,0,0,0
1063,1,0,0,0
1066,1,0,0,0
1070,1,0,0,0
1158,1,0,0,0
1166,1,0,0,0
1254,1,0,0,0
1257,1,0,0,0
1313,1,0,0,0
1317,1,0,0,0
1552,1,0,0,0
1612,1,0,0,0
1622,1,0,0,0
1651,1,0,0,0
1652,1,0,0,0
1676,1,0,0,0
1684,1,0,0,0
1739,1,0,0,0
1741,1,0,0,0
1756,1,0,0,0
1757,1,0,0,0
1793,1,0,0,0
1797,1,0,0,0
1820,1,0,0,0
1829,1,0,0,0
1834,1,0,0,0
1835,1,0,0,0
1852,1,0,0,0
1853,1,0,0,0
1872,1,0,0,0
1890,1,0,0,0
1925,1,0,0,0
1942,1,0,0,0
1943,1,0,0,0
1954,1,0,0,0
2016,1,0,0,0
2031,1,0,0,0
2053,1,0,0,0
2057,1,0,0,0
2081,1,0,0,0
2091,1,0,0,0
2106,1,0,0,0
2108,1,0,0,0
2141,1,0,0,0
2159,1,0,0,0
2166,1,0,0,0
2171,1,0,0,0
2191,1,0,0,0
2202,1,0,0,0
2212,1,0,0,0
2239,1,0,0,0
2240,1,0,0,0
2276,1,0,0,0
2278,1,0,0,0
2285,1,0,0,0
2286,1,0,0,0
2317,1,0,0,0
2370,1,0,0,0
2412,1,0,0,0
4779,1,0,0,0
4807,1,0,0,0
4826,1,0,0,0
4840,1,0,0,0
4857,1,0,0,0
4884,1,0,0,0
4900,1,0,0,0
4939,1,0,0,0
4958,1,0,0,0
5023,1,0,0,0
5104,1,0,0,0
5151,1,0,0,0
5165,1,0,0,0
5210,1,0,0,0
5236,1,0,0,0
5249,1,0,0,0
5253,1,0,0,0
5276,1,0,0,0
5279,1,0,0,0
5349,1,0,0,0
5353,1,0,0,0
5395,1,0,0,0
5486,1,0,0,0
5577,1,0,0,0
5644,1,0,0,0
5651,1,0,0,0
5717,1,0,0,0
5718,1,0,0,0
5720,1,0,0,0
5726,1,0,0,0
5741,1,0,0,0
5748,1,0,0,0
5757,1,0,0,0
5768,1,0,0,0
5772,1,0,0,0
5776,1,0,0,0
5779,1,0,0,0
5784,1,0,0,0
5798,1,0,0,0
5800,1,0,0,0
5811,1,0,0,0
5822,1,0,0,0
5830,1,0,0,0
5831,1,0,0,0
5832,1,0,0,0
5836,1,0,0,0
5837,1,0,0,0
5856,1,0,0,0
5860,1,0,0,0
5865,1,0,0,0
5867,1,0,0,0
5874,1,0,0,0
5890,1,0,0,0
5893,1,0,0,0
5907,1,0,0,0
5921,1,0,0,0
5950,1,0,0,0
5984,1,0,0,0
5993,1,0,0,0
6008,1,0,0,0
6009,1,0,0,0
6010,1,0,0,0
6011,1,0,0,0
6012,1,0,0,0
6013,1,0,0,0
6016,1,0,0,0
6017,1,0,0,0
6019,1,0,0,0
6020,1,0,0,0
6021,1,0,0,0
6022,1,0,0,0
6023,1,0,0,0
6024,1,0,0,0
6025,1,0,0,0
6030,1,0,0,0
6034,1,0,0,0
6035,1,0,0,0
6036,1,0,0,0
6038,1,0,0,0
6039,1,0,0,0
6040,1,0,0,0
6041,1,0,0,0
6042,1,0,0,0
6043,1,0,0,0
6046,1,0,0,0
6064,1,0,0,0
6069,1,0,0,0
6070,1,0,0,0
6071,1,0,0,0
6073,1,0,0,0
6074,1,0,0,0
6076,1,0,0,0
6077,1,0,0,0
6085,1,0,0,0
6086,1,0,0,0
6087,1,0,0,0
6088,1,0,0,0
6090,1,0,0,0
6091,1,0,0,0
6092,1,0,0,0
6094,1,0,0,0
6095,1,0,0,0
6097,1,0,0,0
6098,1,0,0,0
6099,1,0,0,0
6100,1,0,0,0
6101,1,0,0,0
6102,1,0,0,0
6104,1,0,0,0
