code,cohort
88,1
108,1
139,1
159,1
265,1
350,1
351,1
403,1
410,1
424,1
428,1
430,1
470,1
476,1
484,1
504,1
506,1
531,1
544,1
546,1
628,1
630,1
680,1
681,1
685,1
687,1
728,1
742,1
763,1
765,1
766,1
768,1
772,1
801,1
853,1
854,1
867,1
868,1
870,1
915,1
932,1
991,1
992,1
997,1
1002,1
1006,1
1061,1
1062,1
1063,1
1066,1
1070,1
1158,1
1166,1
1254,1
1257,1
1313,1
1317,1
1552,1
1612,1
1622,1
1651,1
1652,1
1676,1
1684,1
1739,1
1741,1
1756,1
1757,1
1793,1
1797,1
1819,1
1820,1
1829,1
1834,1
1835,1
1851,1
1852,1
1853,1
1872,1
1890,1
1925,1
1942,1
1943,1
1954,1
2016,1
2017,1
2031,1
2053,1
2057,1
2081,1
2091,1
2106,1
2108,1
2141,1
2159,1
2166,1
2171,1
2191,1
2202,1
2212,1
2239,1
2240,1
2276,1
2278,1
2285,1
2286,1
2317,1
2370,1
2412,1
4779,1
4807,1
4826,1
4840,1
4857,1
4884,1
4900,1
4939,1
4958,1
5023,1
5104,1
5151,1
5165,1
5210,1
5236,1
5249,1
5253,1
5276,1
5279,1
5349,1
5353,1
5395,1
5486,1
5577,1
5644,1
5651,1
5717,1
5718,1
5720,1
5726,1
5741,1
5748,1
5757,1
5768,1
5772,1
5776,1
5779,1
5784,1
5798,1
5800,1
5811,1
5822,1
5830,1
5831,1
5832,1
5836,1
5837,1
5856,1
5860,1
5865,1
5867,1
5874,1
5890,1
5893,1
5907,1
5921,1
5950,1
5984,1
5993,1
6008,1
6009,1
6010,1
6011,1
6012,1
6013,1
6016,1
6017,1
6019,1
6020,1
6021,1
6022,1
6023,1
6024,1
6025,1
6030,1
6034,1
6035,1
6036,1
6038,1
6039,1
6040,1
6041,1
6042,1
6043,1
6046,1
6064,1
6069,1
6070,1
6071,1
6073,1
6074,1
6076,1
6077,1
6085,1
6086,1
6087,1
6088,1
6090,1
6091,1
6092,1
6094,1
6095,1
6096,1
6097,1
6098,1
6099,1
6100,1
6101,1
6102,1
6104,1
6105,1
6106,1
6107,1
6108,1
6109,1
6111,1
6112,1
6113,1
6114,1
