"V1" "V2"
"1" "no" "blue"
"2" "no" "blue"
"3" "no" "blue"
"4" "159.fastaAT2G14080.bed.fasta.70.txt" "red"
"5" "no" "blue"
"6" "no" "blue"
"7" "351.fastaAT2G14080.bed.fasta.70.txt" "red"
"8" "no" "blue"
"9" "no" "blue"
"10" "424.fastaAT2G14080.bed.fasta.70.txt" "green"
"11" "428.fastaAT2G14080.bed.fasta.70.txt" "green"
"12" "no" "blue"
"13" "no" "blue"
"14" "no" "blue"
"15" "no" "blue"
"16" "no" "blue"
"17" "no" "blue"
"18" "no" "blue"
"19" "no" "blue"
"20" "no" "blue"
"21" "no" "blue"
"22" "630.fastaAT2G14080.bed.fasta.70.txt" "green"
"23" "no" "blue"
"24" "no" "blue"
"25" "no" "blue"
"26" "no" "blue"
"27" "no" "blue"
"28" "no" "blue"
"29" "no" "blue"
"30" "no" "blue"
"31" "766.fastaAT2G14080.bed.fasta.70.txt" "green"
"32" "no" "blue"
"33" "no" "blue"
"34" "no" "blue"
"35" "no" "blue"
"36" "no" "blue"
"37" "no" "blue"
"38" "no" "blue"
"39" "870.fastaAT2G14080.bed.fasta.70.txt" "red"
"40" "no" "blue"
"41" "no" "blue"
"42" "no" "blue"
"43" "no" "blue"
"44" "no" "blue"
"45" "1002.fastaAT2G14080.bed.fasta.70.txt" "green"
"46" "no" "blue"
"47" "no" "blue"
"48" "no" "blue"
"49" "no" "blue"
"50" "no" "blue"
"51" "no" "blue"
"52" "1158.fastaAT2G14080.bed.fasta.70.txt" "red"
"53" "no" "blue"
"54" "1254.new.fastaAT2G14080.bed.fasta.70.txt" "green"
"55" "1257.fastaAT2G14080.bed.fasta.70.txt" "green"
"56" "no" "blue"
"57" "no" "blue"
"58" "no" "blue"
"59" "no" "blue"
"60" "1622.fastaAT2G14080.bed.fasta.70.txt" "green"
"61" "no" "blue"
"62" "no" "blue"
"63" "no" "blue"
"64" "no" "blue"
"65" "no" "blue"
"66" "1741.fastaAT2G14080.bed.fasta.70.txt" "green"
"67" "no" "blue"
"68" "no" "blue"
"69" "no" "blue"
"70" "no" "blue"
"71" "no" "blue"
"72" "1829.fastaAT2G14080.bed.fasta.70.txt" "green"
"73" "no" "blue"
"74" "no" "blue"
"75" "no" "blue"
"76" "no" "blue"
"77" "no" "blue"
"78" "no" "blue"
"79" "no" "blue"
"80" "no" "blue"
"81" "no" "blue"
"82" "no" "blue"
"83" "no" "blue"
"84" "no" "blue"
"85" "no" "blue"
"86" "no" "blue"
"87" "no" "blue"
"88" "no" "blue"
"89" "no" "blue"
"90" "no" "blue"
"91" "no" "blue"
"92" "no" "blue"
"93" "no" "blue"
"94" "no" "blue"
"95" "no" "blue"
"96" "no" "blue"
"97" "no" "blue"
"98" "no" "blue"
"99" "no" "blue"
