code,AUDPS_Anc_21,AUDPS_Evo_21,Infectivity_Anc_21,Infectivity_Evo_21,SYM_Anc,SYM_Evo,Necrosis_Anc,Necrosis_Evo
88,3.770833333,15.08333333,0.25,1,3,4,0,0
108,8.427083333,8.302083333,0.625,0.625,2,3,0,0
139,3.28125,9.052083333,0.375,0.625,2,2,0,0
159,0,11.1875,0,0.75,0,5,0,1
265,1.010416667,0.53125,0.125,0.375,1,1,0,0
350,0.760416667,3.270833333,0.125,0.25,4,4,0,0
351,13.45833333,10.1875,0.875,0.75,5,1,1,0
403,11.1875,13.32291667,0.75,0.875,3,3,0,0
410,12.94791667,13.44791667,0.875,0.875,3,4,0,0
424,11.3125,13.57291667,0.75,0.875,2,4,0,0
428,6.166666667,1.510416667,0.5,0.125,3,2,0,0
430,2.90625,1.010416667,0.375,0.125,4,2,0,0
470,2.895833333,1.020833333,0.25,0.25,3,3,0,0
476,2.145833333,6.302083333,0.25,0.625,4,3,0,0
484,0,4.53125,0,0.375,0,3,0,0
504,1.770833333,7.041666667,0.25,0.5,3,3,0,0
506,2.895833333,8.822916667,0.25,0.875,3,3,0,0
531,4.791666667,8.822916667,0.5,0.875,3,3,0,0
544,5.666666667,8.9375,0.5,0.75,3,3,0,0
546,1.020833333,1.760416667,0.25,0.125,2,4,0,0
628,4.65625,1.385416667,0.375,0.125,2,1,0,0
630,3.520833333,3.770833333,0.25,0.25,3,3,0,0
680,4.177083333,2.770833333,0.625,0.25,3,3,0,0
681,2.65625,3.90625,0.375,0.375,3,3,0,0
685,8.697916667,1.760416667,0.875,0.125,3,3,0,0
687,0,5.427083333,0,0.625,0,3,0,0
728,4.177083333,2.270833333,0.625,0.25,3,3,0,0
742,6.1875,8.5625,0.75,0.75,3,3,0,0
763,7.619047619,14.82291667,0.571428571,0.875,0,4,0,0
765,5.90625,10.17708333,0.375,0.625,3,3,0,0
766,5.041666667,2.395833333,0.5,0.25,3,3,0,0
768,4.90625,7.916666667,0.375,0.5,3,4,0,0
772,8.041666667,16.58333333,0.5,1,5,5,1,1
801,9.083333333,9.6875,0.666666667,0.5,1,1,0,0
853,7.322916667,3.770833333,0.875,0.25,3,4,0,0
854,5.416666667,5.416666667,0.5,0.5,3,3,0,0
867,0,3.552083333,0,0.625,0,3,0,0
868,2.78125,0.760416667,0.375,0.125,3,1,0,0
870,3.90625,8.802083333,0.375,0.625,5,5,1,1
915,8.8125,8.166666667,0.75,0.5,4,3,0,0
932,2.270833333,0.885416667,0.25,0.125,2,2,0,0
991,6.916666667,4.270833333,0.5,0.25,3,2,0,0
992,6.427083333,4.020833333,0.625,0.25,2,1,0,0
997,1.385416667,3.020833333,0.125,0.25,1,2,0,0
1002,0,4.270833333,0,0.25,0,1,0,0
1006,0,6.28125,0,0.375,0,2,0,0
1061,2.135416667,4.270833333,0.125,0.25,2,3,0,0
1062,1.010416667,4.53125,0.125,0.375,1,2,0,0
1063,1.010416667,0,0.125,0,2,0,0,0
1066,3.520833333,1.385416667,0.25,0.125,2,2,0,0
1070,5.541666667,10.07291667,0.5,0.875,2,3,0,0
1158,7.177083333,5.90625,0.625,0.375,5,5,1,1
1166,2.154761905,1.510416667,0.142857143,0.125,2,3,0,0
1254,9.052083333,5.90625,0.625,0.375,4,3,0,0
1257,6.166666667,12.94791667,0.5,0.875,2,1,0,0
1313,8.177083333,5.78125,0.5,0.375,1,1,0,0
1317,3.351851852,5.541666667,0.222222222,0.25,1,1,0,0
1552,1.385416667,8.677083333,0.125,0.5,2,3,0,0
1612,0,4.541666667,0,0.5,0,3,0,0
1622,2.010416667,1.135416667,0.125,0.125,2,2,0,0
1651,0,2.895833333,0,0.25,0,3,0,0
1652,0.760416667,5.927083333,0.125,0.625,2,3,0,0
1676,7.802083333,6.291666667,0.625,0.5,4,4,0,0
1684,7.177083333,2.895833333,0.625,0.25,2,3,0,0
1739,1.010416667,0,0.125,0,2,0,0,0
1741,2.020833333,2.520833333,0.25,0.25,2,2,0,0
1756,0.635416667,4.041666667,0.125,0.5,2,2,0,0
1757,0,4.03125,0,0.375,0,2,0,0
1793,3.65625,3.78125,0.375,0.375,1,2,0,0
1797,0,3.145833333,0,0.25,0,2,0,0
1820,3.770833333,0,0.25,0,2,0,0,0
1829,4.90625,4.90625,0.375,0.375,1,1,0,0
1834,0,1.010416667,0,0.125,0,2,0,0
1835,1.510416667,10.0625,0.125,0.625,1,3,0,0
1852,0,1.760416667,0,0.125,0,1,0,0
1853,0.760416667,2.895833333,0.125,0.25,2,2,0,0
1872,5.541666667,3.520833333,0.5,0.25,3,2,0,0
1890,10.4375,9.302083333,0.75,0.625,2,2,0,0
1925,4.270833333,9.552083333,0.25,0.625,4,3,0,0
1942,4.791666667,2.15625,0.5,0.375,3,2,0,0
1943,0,2.010416667,0,0.125,0,2,0,0
1954,4.65625,6.791666667,0.375,0.5,1,1,0,0
2016,4.90625,7.041666667,0.375,0.5,2,3,0,0
2031,6.0625,5.427083333,0.75,0.625,3,3,0,0
2053,5.927083333,4.791666667,0.625,0.5,2,3,0,0
2057,5.15625,13.19791667,0.375,0.875,5,5,1,1
2081,7.072916667,3.28125,0.875,0.375,3,2,0,0
2091,3.020833333,7.1875,0.25,0.75,2,4,0,0
2106,6.9375,6.5625,0.75,0.75,3,3,0,0
2108,5.802083333,8.427083333,0.625,0.625,3,3,0,0
2141,2.28125,8.9375,0.375,0.75,2,3,0,0
2159,3.541666667,5.291666667,0.5,0.5,2,2,0,0
2166,6.6875,7.3125,0.75,0.75,3,3,0,0
2171,9.9375,3.770833333,0.75,0.25,2,2,0,0
2191,2.03125,5.416666667,0.375,0.5,1,2,0,0
2202,14.58333333,14.32291667,1,0.875,4,4,0,0
2212,6.3125,5.552083333,0.75,0.625,3,3,0,0
2239,7.5625,8.1875,0.75,0.75,3,3,0,0
2240,7.197916667,4.416666667,0.875,0.5,3,3,0,0
2276,6.552083333,9.9375,0.625,0.75,3,3,0,0
2278,0,0,0,0,0,0,0,0
2285,0,2.270833333,0,0.25,0,3,0,0
2286,2.270833333,3.15625,0.25,0.375,2,2,0,0
2317,1.520833333,9.552083333,0.25,0.625,1,3,0,0
2370,2.395833333,0.635416667,0.25,0.125,2,1,0,0
2412,0,1.416666667,0,0.2,0,2,0,0
4779,0,0,0,0,0,0,0,0
4807,10.42708333,11.57291667,0.625,0.625,1,1,0,0
4826,1.416666667,5.694444444,0.2,0.333333333,1,2,0,0
4840,6.166666667,5.8125,0.5,0.75,2,1,0,0
4857,3.916666667,5.5625,0.5,0.75,3,3,0,0
4884,5.5625,4.90625,0.75,0.375,1,1,0,0
4900,4.302083333,3.177083333,0.625,0.625,3,2,0,0
4939,4.666666667,5.427083333,0.5,0.625,2,2,0,0
4958,5.03125,4.020833333,0.375,0.25,2,2,0,0
5023,3.520833333,2.770833333,0.25,0.25,1,3,0,0
5104,6.291666667,2.135416667,0.5,0.125,3,3,0,0
5151,3.90625,7.552083333,0.375,0.5,2,3,0,0
5165,3.28125,3.395833333,0.375,0.25,4,4,0,0
5210,4.666666667,0.135416667,0.5,0.125,2,1,0,0
5236,3.666666667,7.802083333,0.5,0.625,1,3,0,0
5249,0,1.135416667,0,0.125,0,2,0,0
