Accession;Necrosis;Virus;per_nec_infected;per_nec_total;AUSIPS
Col-0;0;Ancestral;0;0;19.875
159;1;Ancestral;1;0.125;8.625
351;1;Ancestral;1;0.75;45.625
772;0;Ancestral;0;0;27.25
870;1;Ancestral;1;0.875;47.75
1158;0;Ancestral;0;0;24.875
2057;1;Ancestral;1;1;64.875
6434;0;Ancestral;0;0;24.625
6940;0;Ancestral;0;0;19.5
6958;1;Ancestral;1;0.875;56.875
6967;0;Ancestral;0;0;17
6970;1;Ancestral;1;0.875;61.25
6981;0;Ancestral;0;0;12
7067;0;Ancestral;0;0;17.25
7103;0;Ancestral;0;0;12
7111;0;Ancestral;0;0;28
7199;0;Ancestral;0;0;2.625
7202;0;Ancestral;0;0;16.625
7203;0;Ancestral;0;0;13.625
7231;0;Ancestral;0;0;3.75
7250;0;Ancestral;0;0;38
7268;0;Ancestral;0;0;40.25
7296;1;Ancestral;1;1;60.625
7346;1;Ancestral;1;1;72.375
7382;1;Ancestral;0.25;0.25;39.75
7394;0;Ancestral;0;0;33.75
7417;1;Ancestral;1;1;69.375
7529;1;Ancestral;1;1;57.625
7530;1;Ancestral;1;0.875;48.625
8132;1;Ancestral;1;0.75;33.25
8171;1;Ancestral;1;0.875;54
8264;1;Ancestral;1;0.625;38.625
8290;0;Ancestral;0;0;22.875
9100;1;Ancestral;1;0.875;61.5
9102;1;Ancestral;1;1;70
9105;1;Ancestral;1;0.666666667;47.66667
9106;1;Ancestral;1;0.375;22.875
9555;1;Ancestral;0.666666667;0.5;23.5
9589;1;Ancestral;0.5;0.25;8.5
9597;1;Ancestral;1;0.625;43.375
9622;1;Ancestral;1;1;63.5
9681;1;Ancestral;1;0.875;59.75
9732;1;Ancestral;0.375;0.375;51.125
9747;1;Ancestral;1;0.875;64
9892;1;Ancestral;1;0.375;23.125
9903;1;Ancestral;1;0.875;55.5
9927;1;Ancestral;0.4;0.25;20.25
9933;0;Ancestral;0;0;27.75
9963;1;Ancestral;1;0.625;41.375
9982;1;Ancestral;1;0.625;40.25
9995;1;Ancestral;1;0.875;51.25
9996;1;Ancestral;0.333333333;0.25;21.75
6131;0;Ancestral;0;0;16.75
992;0;Ancestral;0;0;10.375
1063;0;Ancestral;0;0;3.25
1257;0;Ancestral;0;0;34.5
1313;0;Ancestral;0;0;33.875
1317;0;Ancestral;0;0;26.125
5860;0;Ancestral;0;0;26.125
4939;0;Ancestral;0;0;27.625
5353;0;Ancestral;0;0;6.375
5577;0;Ancestral;0;0;6.125
1552;0;Ancestral;0;0;16.625
1622;0;Ancestral;0;0;5.25
1652;0;Ancestral;0;0;14
1684;0;Ancestral;0;0;11.5
1739;0;Ancestral;0;0;23.875
1741;0;Ancestral;0;0;9.75
1756;0;Ancestral;0;0;21
1820;0;Ancestral;0;0;27.875
1853;0;Ancestral;0;0;13.5
1890;0;Ancestral;0;0;23.875
2091;0;Ancestral;0;0;11.125
1835;0;Ancestral;0;0;19
1925;0;Ancestral;0;0;12.5
2016;0;Ancestral;0;0;34.625
2031;0;Ancestral;0;0;22.875
2053;0;Ancestral;0;0;15.625
2106;0;Ancestral;0;0;9.375
2108;0;Ancestral;0;0;3.375
2141;0;Ancestral;0;0;6.75
2166;0;Ancestral;0;0;2.75
2285;0;Ancestral;0;0;0
2317;0;Ancestral;0;0;20.83333
4857;0;Ancestral;0;0;0
5023;0;Ancestral;0;0;0.875
5104;0;Ancestral;0;0;24
5151;1;Ancestral;0.166666667;0.125;32.625
5236;0;Ancestral;0;0;6.75
6191;0;Ancestral;0;0;14.75
6192;0;Ancestral;0;0;2.625
6220;0;Ancestral;0;0;2.125
6221;0;Ancestral;0;0;15.875
